x,t,u
0.2020202,0.969697,0.23008431
0.2020202,0.97979796,0.22772811
0.2020202,0.989899,0.22539099
0.2020202,1.0,0.22307236
0.21212122,0.0,0.6206082
0.21212122,0.01010101,0.614488
0.21212122,0.02020202,0.6084177
0.21212122,0.030303031,0.6023988
0.21212122,0.04040404,0.59643257
0.21212122,0.05050505,0.5905198
0.21212122,0.060606062,0.58466166
0.21212122,0.07070707,0.5788583
0.21212122,0.08080808,0.573111
0.21212122,0.09090909,0.5674194
0.21212122,0.1010101,0.56178457
0.21212122,0.11111111,0.55620605
0.21212122,0.121212125,0.55068415
0.21212122,0.13131313,0.5452188
0.21212122,0.14141414,0.5398101
0.21212122,0.15151516,0.5344577
0.21212122,0.16161616,0.5291615
0.21212122,0.17171717,0.523921
0.21212122,0.18181819,0.5187361
0.21212122,0.1919192,0.51360595
0.21212122,0.2020202,0.5085307
0.21212122,0.21212122,0.5035094
0.21212122,0.22222222,0.4985418
0.21212122,0.23232323,0.4936273
0.21212122,0.24242425,0.48876518
0.21212122,0.25252524,0.48395503
0.21212122,0.26262626,0.47919598
0.21212122,0.27272728,0.47448775
0.21212122,0.28282827,0.46982962
0.21212122,0.2929293,0.46522093
0.21212122,0.3030303,0.46066093
0.21212122,0.3131313,0.4561491
0.21212122,0.32323232,0.45168477
0.21212122,0.33333334,0.44726717
0.21212122,0.34343433,0.4428957
0.21212122,0.35353535,0.43856984
0.21212122,0.36363637,0.43428892
0.21212122,0.37373737,0.43005222
0.21212122,0.3838384,0.4258589
0.21212122,0.3939394,0.42170882
0.21212122,0.4040404,0.4176011
0.21212122,0.41414142,0.41353512
0.21212122,0.42424244,0.40951014
0.21212122,0.43434343,0.40552592
0.21212122,0.44444445,0.4015814
0.21212122,0.45454547,0.3976766
0.21212122,0.46464646,0.39381024
0.21212122,0.47474748,0.3899824
0.21212122,0.4848485,0.38619208
0.21212122,0.4949495,0.3824389
0.21212122,0.50505054,0.37872228
0.21212122,0.5151515,0.37504184
0.21212122,0.5252525,0.37139684
0.21212122,0.53535354,0.367787
0.21212122,0.5454545,0.36421168
0.21212122,0.5555556,0.36067027
0.21212122,0.56565654,0.35716254
0.21212122,0.57575756,0.35368794
0.21212122,0.5858586,0.35024577
0.21212122,0.5959596,0.34683597
0.21212122,0.6060606,0.3434579
0.21212122,0.6161616,0.34011108
0.21212122,0.62626266,0.336795
0.21212122,0.6363636,0.33350953
0.21212122,0.64646465,0.3302539
0.21212122,0.65656567,0.32702804
0.21212122,0.6666666,0.32383144
